[1, 78]
[64/35, 90]
[64/45, 98]
[65/28, 100]
[65/42, 94]
[65/48, 94]
[65/56, 86]
[65/63, 97]
[65/72, 83]
[65/84, 86]
[67/30, 95]
[67/35, 84]
[67/36, 90]
[67/40, 90]
[67/42, 92]
[67/45, 88]
[67/48, 78]
[67/56, 95]
[67/60, 71]
[67/63, 98]
[67/70, 90]
[67/72, 92]
[67/84, 79]
[67/90, 100]
[67/105, 96]
[67/108, 97]
[67/120, 97]
[68/35, 87]
[68/39, 96]
[68/105, 95]
[69/28, 90]
[69/40, 86]
[69/56, 100]
[69/70, 85]
[69/80, 81]
[71/30, 83]
[71/35, 85]
[71/36, 85]
[71/40, 94]
[71/42, 82]
[71/45, 82]
[71/46, 98]
[71/48, 90]
[71/51, 96]
[71/55, 94]
[71/56, 84]
[71/60, 81]
[71/70, 79]
[71/72, 93]
[71/78, 87]
[71/80, 100]
[71/84, 94]
[71/90, 94]
[71/105, 98]
[71/120, 87]
[72/35, 87]
[73/36, 84]
[73/40, 86]
[73/42, 97]
[73/45, 91]
[73/48, 86]
[73/56, 93]
[73/60, 76]
[73/70, 96]
[73/72, 91]
[73/77, 92]
[73/80, 94]
[73/84, 87]
[73/85, 83]
[73/90, 90]
[73/104, 98]
[73/110, 99]
[74/35, 82]
[74/45, 81]
[74/105, 92]
[75/56, 99]
[76/35, 95]
[76/45, 85]
[77/40, 95]
[77/45, 93]
[77/50, 100]
[77/60, 77]
[77/80, 96]
[77/90, 88]
[77/120, 81]
[79/30, 99]
[79/36, 83]
[79/40, 87]
[79/42, 81]
[79/45, 93]
[79/48, 85]
[79/56, 89]
[79/57, 98]
[79/60, 83]
[79/63, 100]
[79/70, 93]
[79/72, 90]
[79/84, 86]
[79/90, 87]
[79/120, 79]
[80/63, 94]
[81/44, 95]
[81/56, 90]
[81/70, 90]
[81/80, 97]
[81/95, 85]
[82/35, 91]
[82/45, 90]
[82/55, 88]
[82/63, 99]
[82/105, 82]
[83/35, 96]
[83/40, 81]
[83/42, 82]
[83/45, 95]
[83/48, 92]
[83/56, 82]
[83/60, 72]
[83/65, 96]
[83/70, 100]
[83/72, 82]
[83/84, 80]
[83/90, 85]
[83/105, 97]
[83/120, 87]
[83/140, 100]
[83/168, 94]
[85/36, 99]
[85/42, 85]
[85/48, 95]
[85/56, 90]
[85/63, 95]
[85/91, 94]
[86/45, 80]
[86/105, 94]
[87/35, 97]
[87/40, 86]
[87/56, 96]
[87/70, 92]
[87/110, 92]
[88/45, 99]
[88/51, 100]
[88/105, 85]
[89/42, 92]
[89/45, 95]
[89/48, 91]
[89/56, 96]
[89/60, 75]
[89/70, 97]
[89/80, 96]
[89/84, 73]
[89/90, 94]
[89/105, 87]
[89/120, 85]
[89/132, 93]
[89/180, 96]
[91/36, 95]
[91/40, 89]
[91/45, 88]
[91/48, 91]
[91/60, 73]
[91/72, 98]
[91/80, 96]
[91/90, 100]
[91/96, 98]
[91/102, 91]
[91/120, 83]
[92/63, 92]
[93/40, 88]
[93/55, 95]
[93/56, 99]
[93/110, 88]
[93/140, 86]
[94/45, 96]
[94/63, 85]
[94/105, 93]
[95/48, 81]
[95/52, 97]
[95/56, 97]
[95/72, 88]
[95/84, 84]
[95/126, 98]
[96/55, 100]
[96/65, 90]
[97/40, 97]
[97/42, 92]
[97/45, 88]
[97/56, 99]
[97/60, 68]
[97/63, 97]
[97/72, 95]
[97/78, 97]
[97/80, 100]
[97/84, 83]
[97/90, 80]
[97/105, 89]
[97/115, 89]
[97/120, 87]
[97/126, 93]
[97/156, 96]
[97/180, 97]
[98/45, 91]
[98/75, 93]
[99/56, 93]
[99/70, 82]
[101/45, 99]
[101/48, 90]
[101/56, 85]
[101/60, 80]
[101/63, 91]
[101/70, 93]
[101/72, 87]
[101/80, 99]
[101/84, 100]
[101/90, 97]
[101/105, 95]
[101/112, 98]
[101/114, 93]
[101/120, 82]
[101/126, 96]
[101/130, 94]
[101/180, 88]
[103/40, 99]
[103/48, 93]
[103/56, 83]
[103/60, 75]
[103/63, 90]
[103/72, 94]
[103/80, 88]
[103/84, 76]
[103/90, 93]
[103/105, 98]
[103/108, 93]
[103/110, 99]
[103/112, 97]
[103/120, 93]
[103/156, 83]
[103/165, 88]
[103/168, 95]
[103/180, 91]
[104/45, 93]
[104/55, 78]
[104/105, 93]
[106/45, 99]
[106/63, 98]
[106/77, 100]
[106/105, 94]
[107/42, 95]
[107/45, 90]
[107/48, 96]
[107/56, 83]
[107/60, 76]
[107/70, 93]
[107/84, 96]
[107/85, 100]
[107/88, 95]
[107/90, 92]
[107/105, 93]
[107/120, 84]
[107/126, 93]
[107/140, 95]
[107/168, 93]
[107/180, 97]
[109/45, 99]
[109/48, 96]
[109/56, 89]
[109/60, 92]
[109/63, 99]
[109/65, 97]
[109/70, 81]
[109/84, 78]
[109/90, 88]
[109/105, 85]
[109/110, 91]
[109/112, 98]
[109/119, 98]
[109/120, 83]
[109/130, 92]
[109/144, 99]
[109/168, 100]
[109/180, 99]
[111/56, 97]
[111/70, 92]
[111/91, 98]
[111/140, 98]
[112/165, 100]
[113/56, 99]
[113/60, 74]
[113/63, 87]
[113/70, 82]
[113/75, 98]
[113/80, 96]
[113/84, 90]
[113/120, 99]
[113/126, 95]
[113/135, 93]
[113/140, 82]
[113/144, 88]
[113/168, 93]
[115/56, 90]
[115/63, 85]
[115/112, 94]
[115/126, 99]
[115/168, 85]
[116/105, 100]
[117/56, 95]
[117/70, 98]
[117/77, 99]
[117/80, 93]
[117/110, 97]
[117/140, 93]
[118/75, 97]
[118/105, 94]
[119/48, 96]
[119/60, 81]
[119/90, 82]
[119/99, 94]
[119/120, 79]
[119/180, 98]
[119/195, 90]
[121/56, 87]
[121/60, 83]
[121/63, 85]
[121/70, 97]
[121/80, 85]
[121/84, 76]
[121/105, 94]
[121/108, 96]
[121/120, 81]
[121/133, 100]
[121/138, 97]
[121/140, 91]
[121/145, 95]
[121/168, 91]
[121/180, 99]
[122/63, 99]
[122/65, 80]
[122/105, 94]
[123/56, 96]
[123/65, 99]
[123/70, 92]
[123/140, 96]
[124/85, 94]
[124/105, 95]
[125/72, 92]
[125/84, 88]
[125/88, 98]
[125/104, 97]
[125/126, 86]
[125/132, 99]
[125/168, 98]
[126/55, 95]
[127/56, 85]
[127/60, 72]
[127/66, 86]
[127/70, 100]
[127/72, 97]
[127/84, 85]
[127/90, 95]
[127/105, 93]
[127/120, 98]
[127/130, 93]
[127/132, 88]
[127/140, 99]
[127/168, 91]
[127/240, 97]
[128/63, 98]
[128/77, 100]
[128/105, 93]
[129/56, 94]
[129/70, 89]
[129/88, 87]
[129/140, 92]
[129/155, 97]
[129/170, 98]
[130/63, 99]
[130/99, 98]
[131/56, 100]
[131/60, 82]
[131/70, 94]
[131/72, 87]
[131/80, 93]
